Iteration,Moth 1 Distance,Moth 2 Distance,Moth 3 Distance,Moth 4 Distance,Moth 5 Distance,Moth 6 Distance,Moth 7 Distance,Moth 8 Distance,Moth 9 Distance,Moth 10 Distance,Moth 11 Distance,Moth 12 Distance,Moth 13 Distance,Moth 14 Distance,Moth 15 Distance,Moth 16 Distance,Moth 17 Distance,Moth 18 Distance
58,2992.87,2656.99,3201.12,3563.59,3292.19,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3563.59,3869.07,3563.59,3563.59,3338.13,3398.02,3292.19
59,3714.56,2656.99,3201.12,3563.59,3292.19,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3563.59,3869.07,3563.59,3563.59,3900.63,3728.01,3292.19
60,3714.56,2656.99,4102.66,4116.06,3292.19,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,4116.06,3869.07,4116.06,4116.06,3900.63,3861.93,3292.19
61,3660.88,2656.99,3201.12,4116.06,4056.66,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,4116.06,3660.88,4116.06,4116.06,3900.63,3226.73,2858.95
62,3869.07,2656.99,4102.66,4213.35,4400.94,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3967.77,3674.34,3967.77,3545.33,3338.13,3861.93,2858.95
63,3660.88,2656.99,3201.12,4400.94,4400.94,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,4400.94,3674.34,4400.94,3545.33,3338.13,3006.33,3292.19
64,3344.35,2656.99,4102.66,4213.35,4213.35,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,4302.3,3226.73,4302.3,3203.23,3900.63,3006.33,2858.95
65,3343.37,2656.99,3415.3,3344.35,3674.34,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,4400.94,3674.34,4400.94,2859.01,3900.63,3446.7,2858.95
66,3098.7,2656.99,3415.3,3446.7,3660.88,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3531.94,3728.01,3531.94,3415.3,3765.74,3006.33,3428.7
67,3343.37,2656.99,4102.66,3344.35,3660.88,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3531.94,3728.01,3531.94,3714.56,3765.74,3006.33,3428.7
68,3343.37,2656.99,4102.66,3247.06,3660.88,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3398.02,3728.01,3398.02,2992.87,3765.74,3446.7,4102.6
69,3103.62,2656.99,4102.66,3247.06,3660.88,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3398.02,3728.01,3398.02,3714.56,2999.09,3006.33,4102.6
70,4016.44,2656.99,3967.77,3569.81,3660.88,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3500.37,3728.01,3500.37,3415.3,3765.74,3006.33,4102.6
71,3103.62,2656.99,3967.77,4016.44,3660.88,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2992.87,3674.34,2992.87,3714.56,3226.73,3446.7,3428.7
72,4016.44,2656.99,3203.23,4016.44,3660.88,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3500.37,3907.87,3500.37,3714.56,3226.73,3446.7,4102.6
73,4016.44,2656.99,3203.23,4016.44,3660.88,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2992.87,3674.34,2992.87,3714.56,3861.93,3500.37,3428.7
74,3868.09,2656.99,3967.77,3868.15,2890.52,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3659.9,3674.34,3659.9,3720.78,3226.73,3446.7,3428.7
75,3868.09,2656.99,3203.23,3201.12,2890.52,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3868.09,3674.34,3868.09,2656.99,2903.97,3446.7,3868.09
76,3098.7,2656.99,3759.52,2999.09,3531.94,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3343.37,3660.88,3343.37,2656.99,2903.97,3006.33,3343.37
77,2858.95,2656.99,3759.52,3201.12,3531.94,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3343.37,4302.3,3343.37,2656.99,2890.52,3006.33,3343.37
78,3292.19,2656.99,3203.23,3201.12,3343.37,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3868.09,3660.88,3868.09,2656.99,3660.88,3006.33,3868.09
79,3292.19,2656.99,3203.23,3680.23,3343.37,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3343.37,3714.56,3343.37,2656.99,3869.07,3446.7,3343.37
80,2858.95,2656.99,2858.95,3680.23,3868.09,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3868.09,3720.78,3868.09,2656.99,3869.13,2999.09,3868.09
81,2858.95,2656.99,2858.95,3201.12,3428.7,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3869.07,4071.1,3869.07,2656.99,3869.13,3765.74,4056.66
82,3292.19,2656.99,3292.19,3201.12,2858.95,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3869.07,4071.1,3869.07,2656.99,3869.13,3759.52,4056.66
83,3292.19,2656.99,3292.19,3868.15,3203.23,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3869.07,3007.3,3869.07,2656.99,3869.13,3759.52,4400.94
84,2858.95,2656.99,2858.95,3415.3,3545.33,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3869.07,3007.3,3869.07,2656.99,3674.34,3203.23,4400.94
85,3292.19,2656.99,3292.19,3415.3,2999.09,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3869.07,4016.44,3869.07,2656.99,3006.33,2859.01,4302.3
86,2858.95,2656.99,2858.95,3415.3,3545.33,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,4102.6,4016.44,4102.6,2656.99,2992.87,2859.01,4302.3
87,3203.23,2656.99,2656.99,3415.3,3006.33,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,4102.6,3868.09,4102.6,2656.99,3659.9,3007.3,4302.3
88,3203.23,2656.99,2656.99,3623.49,3545.33,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3907.87,3343.37,3907.87,2656.99,3415.3,4016.44,4400.94
89,2858.95,2656.99,2656.99,3415.3,3545.33,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,4102.6,3868.09,4102.6,2656.99,2890.52,3007.3,4302.3
90,3292.19,2656.99,2656.99,2859.01,4116.06,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,4102.6,3343.37,4102.6,2656.99,3415.3,3007.3,4205.01
91,2858.95,2656.99,2656.99,2656.99,4116.06,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3900.63,3343.37,3900.63,2656.99,3563.59,3007.3,4302.3
92,3098.7,2656.99,2656.99,2656.99,3759.52,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3868.09,2656.99,2656.99,3415.3,3007.3,3869.13
93,3868.09,2656.99,2656.99,2656.99,4116.06,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,4056.66,2656.99,2656.99,3714.56,3007.3,3869.07
94,3428.7,2656.99,2656.99,2656.99,3759.52,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2858.95,2656.99,2656.99,3714.56,4016.44,3869.13
95,3428.7,2656.99,2656.99,2656.99,4116.06,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2858.95,2656.99,2656.99,3714.56,3007.3,3869.13
96,3907.87,2656.99,2656.99,2656.99,3247.06,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3007.3,2656.99,2656.99,3500.37,4016.44,3869.13
97,3428.7,2656.99,2656.99,2656.99,2903.97,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3338.13,2656.99,2656.99,3500.37,4016.44,4102.66
98,3006.33,2656.99,2656.99,2656.99,3398.02,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3338.13,2656.99,2656.99,3446.7,4016.44,4102.66
99,3428.7,2656.99,2656.99,2656.99,2903.97,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3338.13,2656.99,2656.99,4302.3,4116.06,4102.66
100,3428.7,2656.99,2656.99,2656.99,2903.97,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3900.63,2656.99,2656.99,4205.01,3759.52,4102.66
101,3428.7,2656.99,2656.99,2656.99,3398.02,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3765.74,2656.99,2656.99,4205.01,4116.06,3201.12
102,2858.95,2656.99,2656.99,2656.99,3398.02,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2999.09,2656.99,2656.99,3531.94,3759.52,2859.01
103,4056.66,2656.99,2656.99,2656.99,3398.02,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2999.09,2656.99,2656.99,2890.52,3203.23,3201.12
104,4056.66,2656.99,2656.99,2656.99,3500.37,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2999.09,2656.99,2656.99,3344.35,3203.23,3201.12
105,4056.66,2656.99,2656.99,2656.99,3714.56,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2999.09,2656.99,2656.99,3344.35,3759.52,3500.37
106,2858.95,2656.99,2656.99,2656.99,3500.37,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2999.09,2656.99,2656.99,2890.52,4400.94,3500.37
107,2858.95,2656.99,2656.99,2656.99,3201.12,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3765.74,2656.99,2656.99,3344.35,3759.52,4071.1
108,3869.07,2656.99,2656.99,2656.99,3680.23,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2999.09,2656.99,2656.99,2890.52,3659.9,4071.1
109,3869.13,2656.99,2656.99,2656.99,4347.26,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3765.74,2656.99,2656.99,3344.35,2992.87,3720.78
110,3869.13,2656.99,2656.99,2656.99,3343.37,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3900.63,2656.99,2656.99,3398.02,2992.87,4071.1
111,3869.13,2656.99,2656.99,2656.99,3868.09,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3900.63,2656.99,2656.99,3398.02,2992.87,4071.1
112,3869.07,2656.99,2656.99,2656.99,3659.9,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,4347.26,2656.99,2656.99,3344.35,2992.87,3720.78
113,3869.13,2656.99,2656.99,2656.99,3415.3,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,4167.41,2656.99,2656.99,4213.35,3500.37,3720.78
114,3869.07,2656.99,2656.99,2656.99,3659.9,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,4347.26,2656.99,2656.99,4213.35,3500.37,3765.74
115,3869.13,2656.99,2656.99,2656.99,3659.9,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3659.9,2656.99,2656.99,3765.74,3446.7,2999.09
116,3868.15,2656.99,2656.99,2656.99,3868.09,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,4347.26,2656.99,2656.99,3765.74,3674.34,2999.09
117,3415.3,2656.99,2656.99,2656.99,3343.37,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,4167.41,2656.99,2656.99,3545.33,3674.34,2999.09
118,3868.15,2656.99,2656.99,2656.99,3344.35,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3720.78,2656.99,2656.99,3545.33,3446.7,3765.74
119,3415.3,2656.99,2656.99,2656.99,3247.06,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3720.78,2656.99,2656.99,3545.33,3674.34,3765.74
120,3623.49,2656.99,2656.99,2656.99,3344.35,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3398.02,2656.99,2656.99,3545.33,3446.7,3765.74
121,3623.49,2656.99,2656.99,2656.99,2890.52,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2903.97,2656.99,2656.99,3765.74,3674.34,3226.73
122,3415.3,2656.99,2656.99,2656.99,3344.35,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3398.02,2656.99,2656.99,3545.33,3907.87,3226.73
123,2859.01,2656.99,2656.99,2656.99,2890.52,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3531.94,2656.99,2656.99,3765.74,3428.7,3226.73
124,2859.01,2656.99,2656.99,2656.99,3759.52,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3292.19,2656.99,2656.99,3545.33,3428.7,3226.73
125,3203.23,2656.99,2656.99,2656.99,3203.23,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3292.19,2656.99,2656.99,4116.06,3226.73,3226.73
126,3545.33,2656.99,2656.99,2656.99,2858.95,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2858.95,2656.99,2656.99,4116.06,3226.73,3226.73
127,3545.33,2656.99,2656.99,2656.99,3098.7,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3869.07,2656.99,2656.99,4116.06,3226.73,3226.73
128,3765.74,2656.99,2656.99,2656.99,3868.09,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3869.07,2656.99,2656.99,3563.59,3226.73,3226.73
129,3765.74,2656.99,2656.99,2656.99,4016.44,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,4102.6,2656.99,2656.99,3563.59,3854.69,3861.93
130,3545.33,2656.99,2656.99,2656.99,4016.44,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3907.87,2656.99,2656.99,4116.06,2999.09,3907.87
131,3545.33,2656.99,2656.99,2656.99,4016.44,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,4102.6,2656.99,2656.99,4016.44,2999.09,4102.6
132,3006.33,2656.99,2656.99,2656.99,3103.62,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,4102.6,2656.99,2656.99,3103.62,3854.69,4102.6
133,2992.87,2656.99,2656.99,2656.99,3103.62,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3907.87,2656.99,2656.99,3103.62,3854.69,3907.87
134,2992.87,2656.99,2656.99,2656.99,3103.62,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,4347.26,2656.99,2656.99,3103.62,3720.78,4347.26
135,3714.56,2656.99,2656.99,2656.99,4167.41,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,4016.44,2656.99,2656.99,4167.41,4071.1,4016.44
136,3720.78,2656.99,2656.99,2656.99,4401.92,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,4016.44,2656.99,2656.99,4401.92,4116.06,4016.44
137,4167.41,2656.99,2656.99,2656.99,4401.92,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,4016.44,2656.99,2656.99,4401.92,3563.59,4016.44
138,3720.78,2656.99,2656.99,2656.99,4401.92,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,4347.26,2656.99,2656.99,4401.92,3563.59,4347.26
139,3720.78,2656.99,2656.99,2656.99,4167.41,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3343.37,2656.99,2656.99,4167.41,3415.3,3343.37
140,3720.78,2656.99,2656.99,2656.99,4167.41,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3344.35,2656.99,2656.99,4167.41,2890.52,3344.35
141,3765.74,2656.99,2656.99,2656.99,4167.41,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3446.7,2656.99,2656.99,4167.41,3344.35,3446.7
142,3967.77,2656.99,2656.99,2656.99,4167.41,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3006.33,2656.99,2656.99,4167.41,4213.35,3006.33
143,3203.23,2656.99,2656.99,2656.99,3103.62,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3446.7,2656.99,2656.99,3103.62,3674.34,3446.7
144,4213.35,2656.99,2656.99,2656.99,4016.44,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,2656.99,3446.7,2656.99,2656.99,4016.44,3006.33,3446.7
